date,read,link
6월 6일,이사야 18-20장,https://www.youtube.com/playlist?list=PL-MVshquUXWGJUjFDy2fj-f3cPBzBjJfj
6월 7일,이사야 21-24장,https://www.youtube.com/playlist?list=PL-MVshquUXWFOGOt5fMj_0ULjVXaWOtgi
6월 8일,이사야 25-29장,https://www.youtube.com/playlist?list=PL-MVshquUXWEBOn0iJ1rp6ipmnghR6sYf
6월 10일,이사야 30-35장,https://www.youtube.com/playlist?list=PL-MVshquUXWHsuicsaiSFfONhpgJGtORW
6월 11일,"열왕기하 18:13절-37절, 이사야 36장 ",https://www.youtube.com/playlist?list=PL-MVshquUXWEp3Sh8pygCGYKP2DsP_eCJ
6월 12일,"열왕기하 19장, 이사야 37장 ",https://www.youtube.com/playlist?list=PL-MVshquUXWE5HKBz4mccuBctp97_3-rB
6월 13일,"열왕기하 20장, 이사야 38-39장 ",https://www.youtube.com/playlist?list=PL-MVshquUXWG5W0Yfhja0ZcQKW0NHDdzk
6월 14일,이사야 40-42장,https://www.youtube.com/playlist?list=PL-MVshquUXWH1KBK-azqjd0CrHIDyg_3D
6월 15일,이사야 43-45장,https://www.youtube.com/playlist?list=PL-MVshquUXWHrTjlQOE_1khdtM7OX7Fia
6월 17일,이사야 46-48장,https://www.youtube.com/playlist?list=PL-MVshquUXWECPxRDp6R_sYdDCuOkFqs6
6월 18일,이사야 49-51장,https://www.youtube.com/playlist?list=PL-MVshquUXWFSPm8OT9ZnDg2F13REy007
6월 19일,이사야 52-54장,https://www.youtube.com/playlist?list=PL-MVshquUXWHCmQHUcASGku7qip-ynFIx
6월 20일,이사야 55-57장,https://www.youtube.com/playlist?list=PL-MVshquUXWHF63B3GN9okvAP8_JErsIW
6월 21일,이사야 58-60장,https://www.youtube.com/playlist?list=PL-MVshquUXWHptqFlLYwieebQGUKXSqCQ
6월 22일,이사야 61-63장,https://www.youtube.com/playlist?list=PL-MVshquUXWGva9wnwmYml8nOXCx0-iy-
6월 24일,이사야 64-66장,https://www.youtube.com/playlist?list=PL-MVshquUXWHXeE49Q_XjcuVgwutuRiP_
6월 25일,미가 1-3장,https://www.youtube.com/playlist?list=PL-MVshquUXWFwOS_TW71oQr-2DgPOAMuo
6월 26일,미가 4-7장,https://www.youtube.com/playlist?list=PL-MVshquUXWGi28WDVKenvJuGhKqT1ja8
6월 27일,열왕기하 21-23장,https://www.youtube.com/playlist?list=PL-MVshquUXWHueY61gMzvSPDmAs60MNXw
6월 28일,스바냐 1-3장,https://www.youtube.com/playlist?list=PL-MVshquUXWHHnlPCcWtNt6TNvQz6-xiw
6월 29일,하박국 1-3장,https://www.youtube.com/playlist?list=PL-MVshquUXWGU3qPdv6_f6geUMhWrh4Pl
7월 1일,나훔 1-3장,https://www.youtube.com/playlist?list=PL-MVshquUXWHz7BkfSig1qMxz26VxjgEf
7월 2일,요엘 1-3장,https://www.youtube.com/playlist?list=PL-MVshquUXWHp0iBvGsNHlPee11yquKnD
7월 3일,"열왕기하 24장, 예레미야 1-3장",https://www.youtube.com/playlist?list=PL-MVshquUXWG8Ls2mYsxwZ-v3fojaoHM7
7월 4일,예레미야 4-6장,https://www.youtube.com/playlist?list=PL-MVshquUXWGuU0LviD70tyDImalolXz7
7월 5일,예레미야 7-9장,https://www.youtube.com/playlist?list=PL-MVshquUXWFpHxIqidj8cgfShS5yja9J
7월 6일,예레미야 10-13장,https://www.youtube.com/playlist?list=PL-MVshquUXWF1Cv060w0TRXVIMJKfUVXt
